Country,Group,Name,URL,Status,HTTP_Code,Latency_ms
"UNKNOWN","Movies","00s Replay","https://jmp2.uk/plu-62ba60f059624e000781c436.m3u8","ONLINE","302","369"
"UNKNOWN","Culture","2STV (720p)","http://69.64.57.208/2stv/playlist.m3u8","OFFLINE","404","555"
"UNKNOWN","News","2GB Sydney (1080p)","https://2gblive.akamaized.net/hls/live/2033805/2GB/index.m3u8","ONLINE","200","599"
"UNKNOWN","General","2M","http://185.9.2.18/chid_218/index.m3u8","ONLINE","200","611"
"UNKNOWN","General","2M Monde (360p)","https://cdn-globecast.akamaized.net/live/eds/2m_monde/hls_video_ts_tuhawxpiemz257adfc/2m_monde.m3u8","OFFLINE","403","631"
"UNKNOWN","Entertainment","2x2 (576i)","https://bl.rutube.ru/livestream/392b4686b770bae2da6bf5ac4574add5/index.m3u8?e=2068731801&s=tenr-yHXUv1wibfka78s2A&scheme=https","OFFLINE","-1","648"
"UNKNOWN","General","1+1 International HD (720p)","https://dash2.antik.sk/live/test_one_plus_one_int_tizen/playlist.m3u8","ONLINE","200","701"
"UNKNOWN","General","1+1 International","http://158.101.222.193:88/georgia_play.php?id=1plus1international","ONLINE","302","710"
"UNKNOWN","General","1+1 Marafon (1080p)","https://dash2.antik.sk/live/1plus1_marathon/playlist.m3u8","ONLINE","200","710"
"UNKNOWN","Undefined","3point.dk","https://jmp2.uk/plu-65b915780cb1a1000889b837.m3u8","ONLINE","302","70"
"UNKNOWN","General","2+2 Marathon (1080p)","https://lowa8026-cmyk.github.io/Ukraine/Edyni_Novyny/2Plus2Marafon.m3u8","ONLINE","200","789"
"UNKNOWN","News","3AW Melbourne (1080p)","https://3awlive.akamaized.net/hls/live/2032295/3AW/index.m3u8","ONLINE","200","916"
"UNKNOWN","General","1TV (720p)","https://tv.cdn.xsg.ge/gpb-1tv/index.m3u8","ONLINE","200","965"
"UNKNOWN","Undefined","4 Afghanistan","https://4afghls.persiana.live/hls/stream.m3u8","OFFLINE","-1","499"
"UNKNOWN","Shop","1-2-3 TV (270p)","https://123tv-mx1.flex-cdn.net/index.m3u8","ONLINE","200","1222"
"UNKNOWN","General","2M Monde (1080p)","https://stream-lb.livemediama.com/2m/hls/master.m3u8","ONLINE","200","1213"
"UNKNOWN","General","2TV (720p)","https://tv.cdn.xsg.ge/gpb-2tv/index.m3u8","ONLINE","200","1212"
"UNKNOWN","General","1Almere TV (720p)","https://d3472rjicrodic.cloudfront.net/nlpo/clr-nlpo/709d5260/index.m3u8","ONLINE","200","1227"
